model_version,group,category,n,prevalence,recall,precision,roc_auc,brier_score
churn-0.1.0,Contract,Month-to-month,773,0.425614489003881,0.8936170212765957,0.5148861646234676,0.7432432432432432,0.20243765540582184
churn-0.1.0,Contract,One year,300,0.12,0.25,0.25,0.7402146464646464,0.09792997487375059
churn-0.1.0,Contract,Two year,336,0.026785714285714284,0.0,0.0,0.7584097859327217,0.025679042281040898
churn-0.1.0,InternetService,DSL,484,0.20041322314049587,0.7216494845360825,0.4294478527607362,0.8152854364793948,0.12449278733438829
churn-0.1.0,InternetService,Fiber optic,613,0.4110929853181077,0.9087301587301587,0.5252293577981652,0.7813118322121092,0.18779716239357788
churn-0.1.0,InternetService,No,312,0.08012820512820513,0.16,0.5,0.8919163763066202,0.06127336115432058
churn-0.1.0,PaymentMethod,Bank transfer (automatic),300,0.19,0.6666666666666666,0.5352112676056338,0.8673019998556061,0.10804732695508441
churn-0.1.0,PaymentMethod,Credit card (automatic),309,0.1650485436893204,0.6470588235294118,0.4074074074074074,0.8533971728226174,0.1002404366031115
churn-0.1.0,PaymentMethod,Electronic check,474,0.4345991561181435,0.9271844660194175,0.5350140056022409,0.777197145341255,0.19103647292199294
churn-0.1.0,PaymentMethod,Mailed check,326,0.18404907975460122,0.6833333333333333,0.41836734693877553,0.8127506265664162,0.12439164765442877
churn-0.1.0,SeniorCitizen,0,1187,0.2325189553496209,0.7644927536231884,0.4668141592920354,0.8422700011136035,0.12888840341731572
churn-0.1.0,SeniorCitizen,1,222,0.44144144144144143,0.9387755102040817,0.5935483870967742,0.7839861751152074,0.1869410965806372
churn-0.1.0,tenure_band,0-12 months,449,0.47884187082405344,0.8744186046511628,0.5820433436532507,0.7464321208507255,0.2056323427516567
churn-0.1.0,tenure_band,13-36 months,369,0.27100271002710025,0.9,0.45918367346938777,0.8258364312267658,0.14870062985146254
churn-0.1.0,tenure_band,37-72 months,591,0.09983079526226735,0.423728813559322,0.2840909090909091,0.8126035427551931,0.08002031131399603
