feature,importance,coefficient_log_odds
numeric__tenure,1.2552019565023271,-1.2552019565023271
categorical__Contract_Two year,0.7594016481892933,-0.7594016481892933
categorical__InternetService_Fiber optic,0.648027278739399,0.648027278739399
categorical__InternetService_DSL,0.6436422353563627,-0.6436422353563627
numeric__MonthlyCharges,0.6011680689390373,-0.6011680689390373
categorical__Contract_Month-to-month,0.5859982070392415,0.5859982070392415
numeric__TotalCharges,0.5325916799593965,0.5325916799593965
categorical__PaperlessBilling_No,0.33073472389260106,-0.33073472389260106
categorical__StreamingMovies_No internet service,0.29295497042884616,-0.29295497042884616
categorical__StreamingTV_No internet service,0.29295497042884616,-0.29295497042884616
categorical__TechSupport_No internet service,0.29295497042884616,-0.29295497042884616
categorical__DeviceProtection_No internet service,0.29295497042884616,-0.29295497042884616
categorical__OnlineSecurity_No internet service,0.29295497042884616,-0.29295497042884616
categorical__InternetService_No,0.29295497042884616,-0.29295497042884616
categorical__OnlineBackup_No internet service,0.29295497042884616,-0.29295497042884616
categorical__MultipleLines_No,0.2714289135122446,-0.2714289135122446
categorical__Dependents_Yes,0.25618291135154025,-0.25618291135154025
categorical__SeniorCitizen_0,0.21764610484117847,-0.21764610484117847
categorical__StreamingMovies_Yes,0.21226968918787026,0.21226968918787026
categorical__StreamingTV_Yes,0.21192240961903133,0.21192240961903133
categorical__PaymentMethod_Credit card (automatic),0.20858337883059277,-0.20858337883059277
categorical__StreamingMovies_No,0.20788464580483587,-0.20788464580483587
categorical__StreamingTV_No,0.2075373662360007,-0.2075373662360007
categorical__PaymentMethod_Electronic check,0.20558511287934797,0.20558511287934797
categorical__PaymentMethod_Bank transfer (automatic),0.18029614993598256,-0.18029614993598256
categorical__OnlineSecurity_No,0.16554953713441317,0.16554953713441317
categorical__OnlineSecurity_Yes,0.1611644937513838,-0.1611644937513838
categorical__PhoneService_Yes,0.1580647171028855,-0.1580647171028855
categorical__gender_Female,0.15523015708455862,-0.15523015708455862
categorical__Partner_No,0.15503554905959685,-0.15503554905959685
categorical__TechSupport_No,0.14131957444866985,0.14131957444866985
categorical__TechSupport_Yes,0.13693453106563255,-0.13693453106563255
categorical__Partner_Yes,0.13353437798621676,-0.13353437798621676
categorical__gender_Male,0.1333397699612581,-0.1333397699612581
categorical__MultipleLines_No phone service,0.13050520994293077,-0.13050520994293077
categorical__PhoneService_No,0.13050520994293077,-0.13050520994293077
categorical__Contract_One year,0.11516648589578557,-0.11516648589578557
categorical__MultipleLines_Yes,0.113364196409364,0.113364196409364
categorical__PaymentMethod_Mailed check,0.10527551115858697,-0.10527551115858697
categorical__SeniorCitizen_1,0.07092382220463378,-0.07092382220463378
categorical__PaperlessBilling_Yes,0.04216479684678526,0.04216479684678526
categorical__OnlineBackup_No,0.041500465749592194,0.041500465749592194
categorical__OnlineBackup_Yes,0.037115422366558966,-0.037115422366558966
categorical__Dependents_No,0.0323870156942821,-0.0323870156942821
categorical__DeviceProtection_Yes,0.03080632221581191,0.03080632221581191
categorical__DeviceProtection_No,0.026421278832775136,-0.026421278832775136
